episode;steps;reward;average;epsilon
44;999;-42.3227008964008;-123.549446363146;0.01
45;999;-33.600787695046286;-121.59404073992644;0.01
46;999;-36.01182290587274;-119.77314248813806;0.01
47;999;-109.40717503019862;-119.55718483276435;0.01
48;999;-18.97309412225166;-117.50444828765184;0.01
49;999;-17.06922925580936;-115.495743907015;0.01
50;999;-13.514717986778397;-113.95997815954635;0.01
51;999;-47.77810415526947;-113.45014415189756;0.01
52;820;-208.2546419656082;-113.57395054734026;0.01
53;233;-109.27217484052909;-110.70398173524198;0.01
54;999;-42.76004861893688;-110.027894066243;0.01
55;999;-46.69691373021864;-108.69015679851627;0.01
56;999;-74.47344515367928;-108.36310237333369;0.01
57;999;-48.39527972783159;-107.46383651425067;0.01
58;999;-50.293126847863576;-106.7113465730726;0.01
59;999;-13.531981466026792;-104.81720847610774;0.01
60;999;-26.263447850575556;-104.41297041009851;0.01
61;999;-8.479615450516087;-95.54931531548935;0.01
62;900;105.76197754154086;-91.80244134868165;0.01
63;999;-74.60237009599628;-87.56626332068268;0.01
64;77;-105.1759383707413;-88.45755663515303;0.01
65;103;-116.01199985894277;-86.0482189020093;0.01
66;999;-54.42071900453921;-85.08364053275392;0.01
67;999;-24.279384184726545;-81.72206487380832;0.01
68;999;-34.82745989860559;-82.54909034521535;0.01
69;999;-67.31907097671726;-82.97094842750585;0.01
70;409;220.29425086358276;-76.01747151512465;0.01
71;808;-276.5481677339344;-78.99252990162961;0.01
72;246;281.95899715714546;-72.0032353967997;0.01
73;999;-37.170932386193805;-67.28881167938557;0.01
74;156;-180.56385739856128;-66.4706707816217;0.01
75;999;-86.65207246824008;-65.78671570196786;0.01
76;999;-27.077347847124912;-64.04339396272081;0.01
77;481;259.98861028619535;-54.851616342989054;0.01
78;999;-29.810767762119745;-51.19518585238066;0.01
79;999;-63.584016511478396;-52.23407764880832;0.01
80;999;-11.16677314189792;-51.27414990365267;0.01
81;999;12.260812479900842;-49.61957717336139;0.01
82;999;-28.32236371784785;-49.77683801681401;0.01
83;683;125.39335670525782;-47.09399311458335;0.01
84;173;-24.564370878826054;-46.64651619766829;0.01
85;133;-31.31945139552468;-47.03437030246345;0.01
86;999;-60.466694099983265;-46.345199536884536;0.01
87;106;11.672747476619136;-45.82162617724303;0.01
88;420;245.90041546257484;-38.13408360203924;0.01
89;279;276.18165101811417;-25.902163422230416;0.01
90;942;157.59162902150268;-21.41938038827717;0.01
91;999;-58.630969373926206;-17.422572551462157;0.01
92;320;-36.33874364558915;-16.250937040155126;0.01
93;978;-93.2774315178764;-15.444495239127445;0.01
94;285;252.77000139302595;-9.542641193338913;0.01
95;999;-14.287724689830156;-9.15637993323459;0.01
96;301;-12.958882586233159;-8.6953211268418;0.01
97;378;-4.164493897083858;-6.590467504179503;0.01
98;317;254.97946936263185;-1.1114162344818326;0.01
99;222;38.14986944246726;-0.007034260516300037;0.01
100;242;275.9039335370984;5.781338769961237;0.01
101;460;-304.1107902068943;0.6546850489287408;0.01
102;322;238.6884819107734;9.593547526456375;0.01
103;196;-71.95256784169064;10.339939666433143;0.01
104;207;269.1748090472422;16.57863681975672;0.01
105;289;210.56245810582266;21.723824256477553;0.01
106;495;214.66096461207653;27.50651245179267;0.01
107;539;-232.02501357875087;23.83391777477428;0.01
108;208;7.543646380896902;24.99065323934949;0.01
109;272;311.42277701160924;31.48974840890221;0.01
110;263;269.8292493550065;37.41160235301385;0.01
111;253;284.46876772573154;43.270570016538805;0.01
112;258;270.9370513787446;46.57407149328288;0.01
113;342;242.9367187913751;52.924853271030315;0.01
114;407;196.1808377747799;58.951988793940735;0.01
115;495;181.67168963810767;64.90566258388174;0.01
116;348;219.78272930209545;70.38973155001443;0.01
117;225;-146.44656642908393;67.94638790512728;0.01
118;745;-98.79302467693091;66.66707660956077;0.01
119;276;277.2783595194602;73.55902521948433;0.01
120;346;242.51714372029608;74.00348307661861;0.01
121;312;279.044798559687;85.11534240249104;0.01
122;382;242.11647560267363;84.3184919714016;0.01
123;320;261.94051106183394;90.30072084036213;0.01
124;233;-164.97312516844866;90.6125354849644;0.01
125;411;271.6677123914762;97.77893118215871;0.01
126;626;222.00850320886298;102.76064820327849;0.01
127;999;-73.7630197678383;96.08561560219782;0.01
128;999;-26.458337650527376;96.15266420442966;0.01
129;836;191.1413043074274;101.24717062080778;0.01
130;999;15.417679500881329;101.77885967366336;0.01
131;450;255.7639780019389;106.64892298410412;0.01
132;455;268.52768016171933;112.58592386169546;0.01
133;242;263.6193331463851;115.35044339051801;0.01
134;394;238.7476393450004;120.61668359499454;0.01
135;595;228.41550722343018;125.81138276737363;0.01
136;315;245.8676234618386;131.93806911861006;0.01
137;584;200.71372742454545;135.71888871756857;0.01
138;282;269.202938768377;136.18493918368463;0.01
139;239;-23.760588353729176;130.18609439624777;0.01
140;586;218.91661905021158;131.41259419682194;0.01
141;755;-256.3923254492694;127.45736707531506;0.01
142;377;-37.16842485766577;127.44077345107354;0.01
143;999;-3.939406391379971;129.22753395360348;0.01
144;999;-12.361137440561327;123.92491117693173;0.01
145;864;189.95949616536836;128.0098555940357;0.01
146;999;-14.304664259035471;127.98293996057966;0.01
147;625;207.62579931748974;132.21874582487112;0.01
148;492;208.77049191020677;131.29456627582263;0.01
149;333;250.9003155400084;135.54957519777346;0.01
150;692;184.79537497454464;133.7274040265224;0.01
151;499;177.54506812134832;143.36052119308724;0.01
152;318;252.58392384383484;143.6384300317485;0.01
153;321;286.00669239949514;150.79761523657217;0.01
154;389;214.30167756820327;149.70015260699142;0.01
155;321;258.5329357255596;150.65956215938613;0.01
156;384;-216.65369118559562;142.0332690434327;0.01
157;309;-234.7352372658778;141.97906456969017;0.01
158;294;247.9687325430437;146.7875662929331;0.01
159;305;255.02669609501277;145.65964467460117;0.01
160;333;261.6700537712702;145.49646076292646;0.01
161;607;237.14006135397275;144.54988663549125;0.01
162;359;257.5745422067811;144.282636452052;0.01
163;326;209.56996999362423;143.615301476097;0.01
164;559;192.2078089745669;143.53584090009272;0.01
165;265;245.36924388484493;144.80979198502746;0.01
166;484;214.09320951867556;144.69600158935907;0.01
167;392;262.9170883505345;152.88327468495146;0.01
168;303;264.3855866672276;160.1468469118346;0.01
